DateUTC,TimeUTC,SUM_of_MNOZSTVO
18/07/2013,540,169636.18014
18/07/2013,570,168477.66177
18/07/2013,600,171133.58937
18/07/2013,630,173943.54503
18/07/2013,660,173436.9263
18/07/2013,690,173914.78139
18/07/2013,720,169098.21495
18/07/2013,750,169722.46745
18/07/2013,780,168053.09734
18/07/2013,810,166692.13854
18/07/2013,840,162572.57203
18/07/2013,870,158351.19323
18/07/2013,900,155229.19289
18/07/2013,930,153204.10833
18/07/2013,960,150800.40396
18/07/2013,990,145067.08428
18/07/2013,1020,144233.91532
18/07/2013,1050,140478.0153
18/07/2013,1080,137810.85201
18/07/2013,1110,135361.79261
18/07/2013,1140,133363.16886
18/07/2013,1170,130211.04003
18/07/2013,1200,124288.71018
18/07/2013,1230,122376.59314
18/07/2013,1260,120772.89387
18/07/2013,1290,117592.36387
18/07/2013,1320,114054.10195
19/07/2013,-90,109088.49106
19/07/2013,-60,106772.82156
19/07/2013,-30,106557.71399
19/07/2013,0,106152.08794
19/07/2013,30,104924.7598
19/07/2013,60,105500.42435
19/07/2013,90,104490.59621
19/07/2013,120,103098.58777
19/07/2013,150,107513.25396
19/07/2013,180,109003.6223
19/07/2013,210,110509.39127
19/07/2013,240,113465.43526
19/07/2013,270,124944.58108
19/07/2013,300,131129.42409
19/07/2013,330,138343.795
19/07/2013,360,145047.04963
19/07/2013,390,150804.54404
19/07/2013,420,153845.56385
19/07/2013,450,159081.70758
19/07/2013,480,160963.67645
19/07/2013,510,163593.20563
19/07/2013,540,164720.47633
19/07/2013,570,165414.70177
19/07/2013,600,165551.73799
19/07/2013,630,167444.80739
19/07/2013,660,166400.58225
19/07/2013,690,167351.02204
19/07/2013,720,163173.1672
19/07/2013,750,162282.46789
19/07/2013,780,158508.98526
19/07/2013,810,156034.74506
19/07/2013,840,151909.70473
19/07/2013,870,147450.99184
19/07/2013,900,144196.27482
19/07/2013,930,141780.76461
19/07/2013,960,139509.73294
19/07/2013,990,134839.03758
19/07/2013,1020,132397.12226
19/07/2013,1050,129680.73656
